Name,Before,After,Difference,Done?
ebeardy08,70,90,20,
dusske_sd,70,190,120,
ddm_1,70,180,110,
zyr0eu_,60,80,20,
yupnya,60,70,10,
ttv_archiebtw,60,70,10,
thomas_tyke,60,730,670,
kroniikzhd,60,150,90,
itsabixo,60,80,20,
hannahga55,60,70,10,
gotzilla__,60,80,20,
gamedange,60,110,50,
fnaydxn,60,80,20,
fallingreece,60,120,60,
couttsy_,60,70,10,
cluzy_gaming,60,170,110,
9lven0m,60,760,700,
penguinogg,50,60,10,
m1ghtyk3n,50,60,10,
lolsy_ttv,50,60,10,
lightdragon875,50,70,20,
jonnydavis2,50,440,390,
harlequin03782817088989,50,450,400,
gtagameri,50,490,440,
chelseaboy_,50,70,20,
botetta,50,60,10,
2up_slushie,50,140,90,
xyla3x,40,1560,1520,
volkzyuk,40,50,10,
toxicryze17,40,50,10,
tforce20,40,50,10,
slikzz19,40,80,40,
saycredangel,40,270,230,
ooh_cookie,40,80,40,
kappaoftea,40,50,10,
frogonthetyne,40,70,30,
fear_nayeli,40,50,10,
faffleboxfn,40,120,80,
chaosplayss,40,60,20,
avoyz__,40,90,50,
tpc_dnc,30,40,10,
topgshah,30,40,10,
sharkyyg,30,60,30,
sarahhmaeee,30,50,20,
rodog45,30,50,20,
rhys2851,30,40,10,
kalemoon53,30,40,10,
hypefut,30,40,10,
ginge,30,50,20,
frost_a1,30,170,140,
corndog1107,30,40,10,
chrisfreezyy,30,190,160,
basezigboi,30,60,30,
yellowguy111,20,140,120,
yaboysoles,20,30,10,
toni_is_back_baby,20,70,50,
riley6908,20,420,400,
pho3n1x_n1ck,20,60,40,
jynx300,20,30,10,
jaelymawi,20,30,10,
itsharz,20,40,20,
eagleshinobi2345_,20,30,10,
dukesteeler_13,20,30,10,
dino_soarz,20,400,380,
davide_motors,20,30,10,
asshtoner,20,1310,1290,
aropaca,20,330,310,
agentsuffer201,20,30,10,
adoctormonkey,20,30,10,
74vex,20,30,10,
74skii,20,490,470,
xprayz_tv,10,90,80,
veggymightt,10,850,840,
trickyygam3r,10,20,10,
trav100k,10,130,120,
rvenge_____,10,40,30,
rareruben360_w,10,600,590,
rankooz,10,20,10,
r9esp,10,170,160,
p0tholedchicken,10,20,10,
ottoman696,10,20,10,
olosftw,10,70,60,
monster1no,10,20,10,
marsu7985,10,60,50,
jikthebot,10,20,10,
jamiecarrx_,10,20,10,
iamexploits,10,20,10,
haaziqahmad2,10,50,40,
gingyy7,10,20,10,
georgiamarshall5401,10,1280,1270,
devrythinggg,10,1450,1440,
deepvoicedman,10,200,190,
coffeemomttv,10,20,10,
bubzy___,10,130,120,
brutallabs,10,130,120,
brandunx,10,20,10,
azrofnr,10,80,70,
audiofrag,10,20,10,
aspectvelopix,10,20,10,
